Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=979279a9428ebc27,Data Mining Specialist,Thermo Fisher Scientific 3.5 서울,,"Preferably understanding of analytics and business intelligence technologies... R, Python, Power BI or MS AI solutions"
https://kr.indeed.com/viewjob?jk=4fa0faf0652b6f6a,"Staff Engineer, Firmware Engineering",Western Digital 서울,,"implementing SSD firmware in C / C++ / Python language, debugging issues... level languages (e.g., C, C++, Python)."
https://kr.indeed.com/viewjob?jk=7f0c96103ec6d102,경력 개발자,아파트엔 서울 동작구,"월급 4,400,000원 - 4,600,000원",본적인 OS (Linux) 활용 능력 2. 기본적인 문서 작성 능력 3. 프로그래밍 - Java Web - Python 4. 기본적인 DBMS 활용 능력 상세모집요강 접수기간/방법 시작일 2021.4.27 (화) 마감일...
https://kr.indeed.com/viewjob?jk=a746de9c7a6168ef,Healthcare Real World Data Analyst 담당자,IQVIA 서울,,"HEOR 전반적인 업무 수행 Qualifications Claims Data 관련 분석 경력자 SAS / Python / R 등 통계 프로그래밍 언어 사용 가능자 통계학 전공자, 통계 및 Epidemiology 관련 석사..."
https://kr.indeed.com/viewjob?jk=4cd34228af5013fd,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원 대구 현풍면,,"우수자(SPSS, R 등 통계패키지) 외국어(영어) 구사 능력 우수자 Programming(MATLAB, Python, C/C++ 등) 가능자 · 근무기간 : 2019.3.11.~2020.3.10. ※ 단, 재계약 평가에..."
https://kr.indeed.com/viewjob?jk=6ea2e8ba32b3bdee,[기술 공채] 데이터 사이언스,NHN] [기술 경력공채 4.4 성남 판교역,,"모델튜닝, 결과 해석 등) 머신러닝 및 데이터 분석 관련 언어(R, Python, SQL 등)의 능숙한 활용 통계적 분석 방법 및 알고리즘에 대한... 관련 언어, 라이브러리( Python, R, SQL, Tensorflow 등..."
https://kr.indeed.com/viewjob?jk=166aa0c72e94a266,Business Data Analyst,Soomgo 서울 강남구,,"즈니스에 적용하고 개선한 경험 (Google Optimize, Optimizely, 등) 우대사항 • Python 또는 R 을 사용하여 데이터 분석에 활용 가능 • 경영학, 통계학, 경제학, data analysis 등..."
https://kr.indeed.com/viewjob?jk=7b04030358d701b1,[서울시뉴딜] 디지털사이니지 · 실감콘텐츠 분야 전문인력 양성 교육 /...,스마트미디어산업진흥협회 서울,,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>증강현실(AR)|인터넷...
https://kr.indeed.com/viewjob?jk=abd1590860e1e1b3,[우량 E-커머스 벤처기업] 데이터 엔지니어 (주니어 ~ 시니어),TrueHR 서울 강남구,,"- Scala, Java, Python 중 하나 이상의 프로그래밍 언어를 경험... 년 이하)학력사항: 대학교(4년)졸업기타: - Scala, Java, Python 중 하나 이상의 프로그래밍 언어를 경험하신 분- 알고리즘의 Time..."
https://kr.indeed.com/viewjob?jk=9f7793affee60ccc,"Sales Engineer (Pre-Sales), Korea",Recorded Future 서울,,"required Technical skills: Coding experience preferred (i.e. Python), JSON familiarity a plus Experience in an analytical..."
